distance,workout,day,time,neighborhood,studio,date
50 min,barre,Saturday,10:00 AM,williamsburg,the bar method,4/5/25
20 min,cycling,Friday,9:00 AM,gowanus,byklyn,4/11/25
0 min,strength training,Sunday,8:00 AM,crown heights,home,4/6/25
0 min,running,Thursday,8:00 AM,crown heights,home,4/10/25
0 min,running,Tuesday,8:00 AM,crown heights,home,5/13/25
22 min,running,Tuesday,8:30 AM,brooklyn heights,barry's,4/22/25
40 min,yoga,Wednesday,8:00 AM,soho,sui yoga,4/16/25
30 min,yoga,Wednesday,7:45 AM,gowanus,bouldering project,4/9/25
30 min,yoga,Monday,7:45 AM,gowanus,bouldering project,4/7/25
20 min,cycling,Monday,8:30 AM,brooklyn heights,soulcycle,4/21/25
50 min,megaformer,Sunday,9:30 AM,williamsburg,form50,4/20/25
0 min,running,Thursday,8:00 AM,crown heights,home,4/17/25
0 min,running,Sunday,8:00 AM,crown heights,home,4/27/25
30 min,yoga,Monday,7:45 AM,gowanus,bouldering project,4/28/25
20 min,cycling,Friday,7:30 AM,brooklyn heights,soulcycle,4/25/25
0 min,running,Wednesday,8:00 AM,crown heights,home,4/23/25
0 min,strength training,Saturday,8:00 AM,crown heights,home,4/19/25
0 min,running,Thursday,8:00 AM,crown heights,home,5/8/25
0 min,strength training,Sunday,8:00 AM,crown heights,home,5/11/25
20 min,yoga,Monday,8:15 AM,park slope,y7 studio,5/12/25
0 min,running,Friday,8:00 AM,crown heights,home,5/9/25
35 min,yoga,Saturday,10:15 AM,tribeca,verayoga,5/10/25
40 min,cycling,Wednesday,8:15 AM,noho,cyclebar,4/30/25
20 min,cycling,Tuesday,9:30 AM,brooklyn heights,soulcycle,4/15/25
20 min,cycling,Monday,8:30 AM,brooklyn heights,soulcycle,4/14/25
0 min,running,Friday,8:00 AM,crown heights,home,4/18/25
20 min,cycling,Tuesday,9:15 AM,gowanus,byklyn,4/8/25
40,cycling,Wednesday,8:15 AM,noho,cyclebar,05/14/25
30,yoga,Thursday,7:45 AM,gowanus,bouldering project,05/15/25
50 min,megaformer,Sunday,9:30 AM,williamsburg,form50,05/18/25
20 min,swimming,Friday,8:00 AM,bedstuy,ymca,05/16/25
0 min,strength training,Saturday,8:00 AM,crown heights,home,05/17/25
60 min,yoga,Monday,8:00 AM,bushwick,green fitness,05/18/25
40 min,cycling,Wednesday,8:15 AM,noho,cyclebar,05/21/25
20 min,cycling,Friday,9:00 AM,gowanus,byklyn,05/23/25
20 min,yoga,Saturday,8:45 AM,bedstuy,ymca,05/24/25
20 min,swimming,Tuesday,8:00 AM,bedstuy,ymca,05/27/25
0 min,running,Monday,8:00 AM,crown heights,home,05/26/25
30 min,yoga,Friday,7:45 AM,gowanus,bouldering project,05/30/25
50 min,megaformer,Thursday,9:30 AM,williamsburg,form50,05/29/25
40 min,cycling,Wednesday,8:15 AM,noho,cyclebar,05/28/25
0 min,running,Saturday,8:00 AM,crown heights,home,05/31/25
20 min,yoga,Sunday,9:00 AM,park slope,y7 studio,06/01/25
